Date,Day,PlusNothing Sections,Titles,Robertson Sections (reference),Scripture (PlusNothing),Words,Notes
2027-01-01,13,"2.10, 2.11",Jesus and Nicodemus | Jesus and John the Baptizer,"#32b, #33",John 3:1-21; John 3:22-4:3,798,
2027-01-02,14,2.12,Jesus Talks to a Samaritan Woman,#35a,John 4:4-26,481,
2027-01-03,15,"2.13, 2.14, 2.15, 2.16",Jesus's Followers Return | Many Samaritans Believe | Jesus Returns to Galilee | Jesus Heals an Official's Son,"#35b, #35c, #36, #38",John 4:27-38; John 4:39-42; John 4:43-45; John 4:46-54,578,
2027-01-04,16,"2.17, 2.18",Jesus Begins Telling People the Good News | Jesus Rejected in His Hometown,"#40, #37, #39",Matthew 4:13b-17a; Mark 1:15; Luke 4:14b-15; Luke 4:16-30,525,
2027-01-05,17,"3.1, 3.2, 3.3",Jesus Chooses Some Followers | Jesus Frees a Man From an Evil Spirit | Jesus Heals Many People,"#41, #44b, #42, #43",Matthew 4:18-22; Luke 5:1-11; Mark 1:21-28; Mark 1:29-34,655,
2027-01-06,18,"3.4, 3.5, 3.6, 3.7",Jesus Prays Alone | Jesus Teaches and Heals People | Jesus Heals a Sick Man | Jesus Heals a Crippled Man,"#44a, #45, #46",Mark 1:35-38; Matthew 4:23-25; Mark 1:40-45; Mark 2:1-12,598,
2027-01-07,19,"3.8, 3.9, 3.10",Levi Follows Jesus | Jesus Answers a Question about Fasting | Jesus Heals a Man at a Pool,"#47b, #48, #49a",Mark 2:13-17; Luke 5:33-39; John 5:1-18,702,
2027-01-08,20,"3.11, 3.12",The Son Gives Life | Jesus Gives Proofs of His Authority,#49c,John 5:19-30; John 5:31-47,616,
2027-01-09,21,"3.13, 3.14",Jesus Is Lord over the Sabbath Day | A Large Crowd Follows Jesus,"#50, #51, #52",Mark 2:23-26; Matthew 12:5-7; Mark 2:27-28; Matthew 12:9-14; Mark 3:7-12; Matthew 12:17-21,562,
2027-01-10,22,"3.15, 3.16, 3.17, 3.18",Jesus Chooses Twelve Apostles | The People Who Receive God's Blessings | Jesus Calls His Followers Salt and Light | Jesus and the Law of Moses,"#53, #54b, #54c, #54d",Luke 6:12-13; Mark 3:14b-19; Matthew 5:1-12; Matthew 5:13-16; Matthew 5:17-20,541,
2027-01-11,23,"3.19, 3.20, 3.21, 3.22, 3.23",Jesus Teaches about Anger | Jesus Teaches about Adultery | Jesus Teaches about Divorce | Jesus Teaches about Making Promises | Jesus Teaches about Fighting Back,#54e,Matthew 5:21-26; Matthew 5:27-30; Matthew 5:31-32; Matthew 5:33-37; Matthew 5:38-42,544,
2027-01-12,24,"3.24, 3.25, 3.26, 3.27",Jesus Teaches about Loving Your Enemies | Jesus Teaches about Giving | Jesus Teaches about Prayer | Jesus Teaches about Fasting,"#54e, #54f",Matthew 5:43-48; Matthew 6:1-4; Matthew 6:5-15; Matthew 6:16-18,538,
2027-01-13,25,"3.28, 3.29, 3.30, 3.31",Jesus Teaches about What Is Important | Jesus Teaches about Worry | Jesus Teaches about Judging Others | Ask God for What You Need,"#54g, #54h",Matthew 6:19-24; Matthew 6:25-34; Matthew 7:1-6; Matthew 7:7-12,659,
2027-01-14,26,"3.32, 3.33, 3.34, 3.35",The Narrow Gate and the Wide Gate | What People Do Shows What They Are | Two Kinds of People | Jesus Heals an Officer's Servant,"#54h, #55",Matthew 7:13-14; Matthew 7:15-23; Matthew 7:24-27; Luke 7:1-10,574,
2027-01-15,27,"3.36, 3.37",Jesus Brings a Woman's Son back to Life | Jesus and John the Baptizer,"#56, #57",Luke 7:11-17; Luke 7:18-35,599,
2027-01-16,28,"3.38, 3.39, 3.40",Jesus Offers Rest to His People | Jesus and a Sinful Woman | Jesus in Galilee,"#58, #59, #60",Matthew 11:25-30; Luke 7:36-50; Luke 8:1-3,570,
2027-01-17,29,"3.41, 3.42",Jesus's Power Is from God | Some People Doubt Jesus's Authority,"#61, #62",Matthew 12:22-37; Matthew 12:38-45,628,
2027-01-18,30,"3.43, 3.44",Jesus's Followers Are His True Family | The Story about the Farmer Sowing Seed,"#63, #106, #64b",Matthew 12:46-50; Luke 11:27-28; Matthew 13:1-23,691,
2027-01-19,31,"3.45, 3.46, 3.47, 3.48",Use the Understanding You Have | Jesus Uses the Story about the Growing Seed | The Story about the Wheat and Weeds | The Stories about the Mustard Seed and the Yeast,"#64b, #64c, #64d, #64f",Mark 4:21-25; Mark 4:26-29; Matthew 13:24-30; Matthew 13:31-35,508,
2027-01-20,32,"3.49, 3.50, 3.51, 3.52",Jesus Explains the Story about the Weeds | The Stories about the Treasure and the Pearl | The Story About the Fishing Net | Jesus Calms the Storm,"#64g, #64i, #64j, #65",Matthew 13:36-43; Matthew 13:44-46; Matthew 13:47-53; Mark 4:35-41,566,
2027-01-21,33,3.53,Jesus Frees a Man from Evil Spirits,#66,Luke 8:26-27; Mark 5:3b-20,456,
2027-01-22,34,3.54,Jesus Gives Life to a Dead Girl and Heals a Sick Woman,#67,Mark 5:21-43,505,
2027-01-23,35,"3.55, 3.56, 4.1",Jesus Heals Three Men | Jesus Rejected in His Hometown | Ask God to Send More Workers,"#68, #69, #70a",Matthew 9:27-34; Mark 6:1-6; Matthew 9:35-38,402,
2027-01-24,36,4.2,Jesus Sends out the Twelve Apostles,"#70b, #70c",Matthew 10:1; Matthew 10:5-42; Matthew 11:1; Luke 9:6; Mark 6:12b-13,930,
2027-01-25,37,4.3,How John the Baptizer Was Killed,#71b,Mark 6:14-29,391,
2027-01-26,38,"4.4, 4.5, 4.6",Jesus Feeds More Than Five Thousand | Jesus Walks on the Water | Jesus Heals Many Sick People,"#72b, #72c, #73, #74, #75",Mark 6:30-37; John 6:8-15a; Mark 6:45; Matthew 14:23a; Matthew 14:23b-33; Mark 6:53-56,772,
2027-01-27,39,4.7,"Jesus, the Bread of Life",#76a,John 6:22b-59,855,
2027-01-28,40,"4.8, 4.9",Many Followers Leave Jesus | God's Law and Human Traditions,"#76b, #77",John 6:60-71; Mark 7:1-15; Matthew 15:12-14; Mark 7:17-23,763,
2027-01-29,41,"4.10, 4.11, 4.12",Jesus Helps a Canaanite Woman | Jesus Heals a Deaf Man | Jesus Feeds More Than Four Thousand,"#78, #79a, #79b",Matthew 15:21-28; Mark 7:31; Matthew 15:30; Mark 7:32-36; Matthew 15:31a; Mark 7:37b; Matthew 15:32-39,561,
2027-01-30,42,"4.13, 4.14, 4.15, 4.16",Some People Doubt Jesus's Authority | Jesus's Followers Misunderstand Him | Jesus Heals a Blind Man in Bethsaida | Peter Says Jesus Is the Messiah,"#80, #81a, #81b, #82",Matthew 16:1-4; Matthew 16:5-12; Mark 8:22-26; Matthew 16:13-20,577,
2027-01-31,43,"4.17, 4.18",Jesus Says He Must Die | Jesus Is Seen with Moses and Elijah,"#83, #85, #86",Matthew 16:21-28; Luke 9:28-33; Matthew 17:5-13,556,
2027-02-01,44,"4.19, 4.20, 4.21",Jesus Frees a Boy from an Evil Spirit | Jesus Talks about His Death and Resurrection | Jesus Teaches About Paying Taxes,"#87, #88, #89",Mark 9:14-29; Mark 9:30-32; Matthew 17:24-27,544,
2027-02-02,45,"4.22, 4.23, 4.24",Who Is the Greatest in God's Kingdom? | The Father Cares for All His People | Correcting Someone Who Does Wrong,"#90, #91, #92",Matthew 18:1-5; Mark 9:38-41; Matthew 18:6-14; Matthew 18:15-20,636,
2027-02-03,46,"4.25, 4.26",A Story about Forgiveness | Jesus Goes to Jerusalem,"#92, #94",Matthew 18:21-35; John 7:2-13,544,
2027-02-04,47,"4.27, 4.28",Jesus Teaches at the Festival of Shelters | The People Wonder if Jesus Is the Messiah,"#96a, #96b",John 7:14-24; John 7:25-44,646,
2027-02-05,48,"4.29, 4.30",Some Jewish Leaders Refuse to Believe | A Woman Caught in Adultery,"#96b, #97",John 7:45-52; John 7:53-8:11,357,
2027-02-06,49,"4.31, 4.32",Jesus Is the Light of the World | The Children of Abraham,"#99a, #99b",John 8:12-30; John 8:31-41,660,
2027-02-07,50,"4.33, 4.34, 4.35",The Children of the Devil | Jesus Talks about Himself and Abraham | Jesus Heals a Man Born Blind,"#99b, #100a",John 8:42-47; John 8:48-59; John 9:1-12,658,
2027-02-08,51,"4.36, 4.37",Some Religious Leaders Have Questions | Spiritual Blindness,"#100c, #100d",John 9:13-34; John 9:35-41,628,
2027-02-09,52,"4.38, 4.39",The Shepherd and His Sheep | On the Way with Jesus,"#101a, #95",John 10:1-21; Luke 9:51-62,724,
2027-02-10,53,4.40,Jesus Sends Out Seventy-two of His Followers,#102a,Luke 10:1-24,577,
2027-02-11,54,"4.41, 4.42, 4.43","The Most Important Commandment, the Story about the Good Samaritan | Martha and Mary | Jesus Teaches about Prayer","#103, #104, #105",Luke 10:25-37; Luke 10:38-42; Luke 11:1-13,751,
2027-02-12,55,4.44,Jesus Criticizes the Religious Leaders,#107,Luke 11:37-54,418,
2027-02-13,56,"4.45, 4.46",Warning and Encouragement | The Story about a Rich Fool,"#108a, #108b",Luke 12:1-12; Luke 12:13-21,490,
2027-02-14,57,"4.47, 4.48, 4.49",Following Jesus May Bring You Trouble | Change Your Hearts | Jesus Heals a Woman on the Sabbath,"#108d, #109, #110",Luke 12:49-53; Luke 13:1-9; Luke 13:10-17,516,
2027-02-15,58,"4.50, 4.51",The Jewish Leaders against Jesus | The Narrow Door,"#111, #113a",John 10:22-42; Luke 13:22-30,592,
2027-02-16,59,"4.52, 4.53",Jesus Will Die in Jerusalem | Jesus at a Pharisee's Home,"#113b, #114",Luke 13:31-35; Luke 14:1-14,488,
2027-02-17,60,"4.54, 4.55, 4.56",The Story about People Invited to the Dinner | Decide if You Can Follow Me | The Story about the Lost Sheep,"#114, #115, #116",Luke 14:15-24; Luke 14:25-35; Luke 15:1-7,620,
2027-02-18,61,"4.57, 4.58",The Story about the Lost Coin | The Story about the Lost Son,#116,Luke 15:8-10; Luke 15:11-32,585,
2027-02-19,62,4.59,The Story about the Dishonest Manager,#117a,Luke 16:1-15,389,
2027-02-20,63,"4.60, 4.61","The Rich Man and the Poor Man | Forgiveness, Faith, and Duty","#117b, #117c",Luke 16:19-31; Luke 17:1-10,556,
2027-02-21,64,"4.62, 4.63",The Death of Lazarus | Jesus Comforts the Sisters of Lazarus,"#118a, #118b",John 11:1-16; John 11:17-37,683,
2027-02-22,65,"4.64, 4.65, 4.66",Jesus Raises Lazarus From Death | Religious Leaders Plan to Kill Jesus | Jesus Heals Ten Men With Leprosy,"#118b, #119, #120a",John 11:38-44; John 11:45-54; Luke 17:11-19,557,
2027-02-23,66,"4.67, 4.68",The Coming of God's Kingdom | The Story of the Widow Who Would Not Give Up,"#120b, #121",Luke 17:20-37; Luke 18:1-8,538,
2027-02-24,67,"4.69, 4.70, 4.71",The Story about the Pharisee and the Tax Collector | Jesus Teaches About Divorce | Jesus Welcomes Children,"#121, #122, #123",Luke 18:9-14; Matthew 19:3-8; Mark 10:10-12; Matthew 19:10-12; Mark 10:13-16,511,
2027-02-25,68,"4.72, 4.73",A Rich Man Refuses to Follow Jesus | The Story about Workers in the Vineyard,"#124a, #124b",Mark 10:17-31; Matthew 20:1-16,706,
2027-02-26,69,"4.74, 4.75, 4.76",Jesus Talks Again about His Death and Resurrection | A Mother Asks a Special Favor | Jesus Heals a Blind Man Named Bartimaeus,"#125a, #125b, #126",Luke 18:31-34; Matthew 20:20-28; Mark 10:46-52,523,
2027-02-27,70,"4.77, 4.78",Zacchaeus the Tax Collector | The Story about the Ten Servants,"#127a, #127b",Luke 19:1-10; Luke 19:11-28,603,
2027-02-28,71,"4.79, 5.1",The Leading Priests Plan to Kill Lazarus Too | Jesus Enters Jerusalem,"#128a, #128b","John 11:55-12:1, 9-11; John 12:12-13a; Luke 19:29-36a; Mark 11:8-10; Matthew 21:4-5; John 12:16; Luke 19:39-44; Mark 11:11",685,
2027-03-01,72,"5.2, 5.3, 5.4, 5.5","Jesus Says a Fig Tree Will Die | Jesus Forces Merchants out of the Temple | The Dry Fig Tree, Faith and Prayer | Religious Leaders Reject Jesus's Authority","#129a, #129b, #128b, #131, #132a",Mark 11:12-14; Mark 11:15-17; Matthew 21:14-16; Luke 19:47-48; Mark 11:19; Mark 11:20-25; Mark 11:27-33,596,
2027-03-02,73,"5.6, 5.7",The Story about the Two Sons | The Story about the Wicked Farmers,#132b,Matthew 21:28-32; Matthew 21:33-46,452,
2027-03-03,74,"5.8, 5.9",The Story about the Wedding Feast | Is It Right to Pay Taxes to Caesar or Not?,"#132b, #133",Matthew 22:1-14; Matthew 22:15-22,430,
2027-03-04,75,"5.10, 5.11, 5.12",Marriage and the Seven Brothers | The Most Important Command | Is the Messiah David's Son or David's Lord?,"#134, #135, #136",Matthew 22:23-33; Matthew 22:34-36; Mark 12:29-31; Matthew 22:40; Mark 12:32-34a; Matthew 22:41-46,522,
2027-03-05,76,5.13,Jesus Criticizes the Religious Leaders,#137a,Matthew 23:1-39,833,
2027-03-06,77,"5.14, 5.15",A Poor Widow Gives All She Has | Jesus Warns about the Future,"#138, #139b, #139c",Mark 12:41-44; Mark 13:1-13; Matthew 24:14; Mark 13:14-31,835,
2027-03-07,78,5.16,Only God Knows When the Time Will Be,"#139e, #139f",Matthew 24:36-41; Luke 21:34-36; Mark 13:34-37; Matthew 24:42b-51,477,
2027-03-08,79,"5.17, 5.18",The Story about the Ten Girls | The Story about the Three Servants,#139f,Matthew 25:1-13; Matthew 25:14-30,617,
2027-03-09,80,5.19,The Son of Man Will Judge All People,#139g,Matthew 25:31-46,378,
2027-03-10,81,5.20,Jesus Talks about His Death Again,#130a,John 12:20-50,662,
2027-03-11,82,"5.21, 5.22, 5.23",Mary Anoints Jesus at Bethany | Judas Agrees to Help Jesus's Enemies | Preparations for the Passover Meal,"#140, #141, #142, #143",Mark 14:1-3a; John 12:2-8; Mark 14:8-9; Luke 22:3-4; Matthew 26:15-16; Luke 22:7-14,496,
2027-03-12,83,"5.24, 5.25",Jesus and the Followers at the Supper | Jesus Washes His Followers' Feet,"#144, #145",Luke 22:15-18; John 13:2b-17,398,
2027-03-13,84,"5.26, 5.27",Jesus Tells Who Will Turn against Him | The New Agreement with God,"#146, #148",John 13:18-26a; Matthew 26:24-25; John 13:26b-30; Matthew 26:26; Luke 22:19b-20a; Matthew 26:27b; Luke 22:20b; Matthew 26:28b-29,535,
2027-03-14,85,"5.28, 5.29, 5.30, 5.31",Who Is the Most Important? | Jesus Gives a New Command | Jesus Says Peter Will Deny Him | Jesus Comforts His Followers,"#144, #147, #149",Luke 22:24-30; John 13:31-35; Matthew 26:31-32; Luke 22:31-32; Mark 14:29-31; Luke 22:35-38; John 14:1-4,593,
2027-03-15,86,"5.32, 5.33",Jesus Is the Only Way to the Father | Jesus Promises the Holy Spirit,#149,John 14:5-14; John 14:15-31,653,
2027-03-16,87,5.34,Jesus Is Like a Vine,#150a,John 15:1-17,375,
2027-03-17,88,"5.35, 5.36",Jesus Warns His Followers | The Work of the Holy Spirit,"#150b, #150c",John 15:18-16:4b; John 16:4c-15,583,
2027-03-18,89,5.37,Sadness Will Turn Into Happiness,#150e,John 16:16-33,482,
2027-03-19,90,"5.38, 5.39",Jesus Talks to His Father | Jesus Prays for His Followers,#151,John 17:1-5; John 17:6-19,439,
2027-03-20,91,"5.40, 5.41",Jesus Prays for All Who Will Believe in Him | Jesus Prays Alone,"#151, #152",John 17:20-26; Matthew 26:30; Matthew 26:36b-39; Luke 22:43-44; Matthew 26:40-46,499,
2027-03-21,92,5.42,Jesus Is Arrested,#153,John 18:2-3; Matthew 26:48-49; Luke 22:48; John 18:4-9; Mark 14:46; John 18:10; Luke 22:51; John 18:11a; Matthew 26:52b; John 18:11b; Matthew 26:53-56; Mark 14:51-52,465,
2027-03-22,93,"5.43, 5.44, 5.45, 5.46",Jesus Is Brought before Annas | Peter's First Denial of Jesus | Annas Questions Jesus | Peter's Second and Third Denials,"#154, #156",John 18:12-14; John 18:15-16; John 18:18; Mark 14:66-68; John 18:19-24; John 18:25a; Mark 14:69-70; John 18:26; Mark 14:71; Luke 22:60b-62,523,
2027-03-23,94,"5.47, 5.48",Jesus before the High Council | Judas Kills Himself,"#155, #158",Matthew 26:57; Mark 14:55-65; Matthew 27:1-10,462,
2027-03-24,95,"5.49, 5.50",Jesus Is Brought before Pilate | Pilate Sends Jesus to King Herod,"#157, #159, #160",Mark 15:1; John 18:28-32; Luke 23:2; John 18:33-38a; Matthew 27:13-14; John 18:38b; Luke 23:5-7; Luke 23:8-12,597,
2027-03-25,96,"5.51, 5.52, 5.53",Pilate Tries to Free Jesus | Jesus Is Handed over to Be Crucified | Pilate's Soldiers Make Fun of Jesus,"#161, #162",Luke 23:13-15; Matthew 27:15-21; John 19:1-15; Matthew 27:24-25; Luke 23:24-25; Matthew 27:27-31,770,
2027-03-26,97,5.54,Jesus Is Nailed to a Cross,"#163, #164",Luke 23:26-32; Matthew 27:33-34; Luke 23:33b-34a; John 19:23-24; John 19:19-22; Matthew 27:39-43; Luke 23:39-43; John 19:25-27,669,
2027-03-27,98,"5.55, 5.56",Jesus Dies | Jesus Is Buried,"#165, #166, #167a, #167b, #168",Matthew 27:45-47; John 19:28-30a; Luke 23:46; Matthew 27:51-54; John 19:31-37; John 19:38-40; Matthew 27:60; Mark 15:47; Luke 23:56,560,
2027-03-28,99,"5.57, 6.1",The Tomb of Jesus Is Guarded | The Resurrection of Jesus,"#168, #169, #172, #170, #171","Matthew 27:62-66; Mark 16:1a; Luke 24:10b, d; Mark 16:1b-2; Matthew 28:2-6; Luke 24:2-7; Mark 16:7; Luke 24:8; Matthew 28:8; Luke 24:10b-11; John 20:3-10",647,Easter Sunday anchor
2027-03-29,100,"6.2, 6.3, 6.4",Jesus Appears to Mary Magdalene | Jesus Appears to the Women | The Guards Report to the Religious Leaders,"#173, #174, #175",John 20:11-18; Matthew 28:9-10; Matthew 28:11-15,364,
2027-03-30,101,"6.5, 6.6",On the Road to Emmaus | Jesus Appears to His Followers,"#176, #178",Luke 24:13-35; John 20:19; Luke 24:36-43; John 20:21-23,730,
2027-03-31,102,"6.7, 6.8",Jesus Appears to Thomas | Jesus Appears to Seven Followers,"#179, #180",John 20:24-29; John 21:1-14,508,
2027-04-01,103,"6.9, 6.10, 6.11",Jesus Talks to Peter | Jesus Gives His Followers a Mission | Jesus's Final Instructions,"#180, #181, #183",John 21:15-23; Matthew 28:16-20; Acts 1:3-4a; Luke 24:44-49; Acts 1:4b-8,719,
2027-04-02,104,"6.12, 6.13, 6.14",Jesus Is Carried up Into Heaven | The Coming of the Holy Spirit | The Conclusion,"#184, #180, #179",Luke 24:50-51; Acts 1:9b-11; Luke 24:52-53; Acts 2:1-11; John 21:25; John 20:31,414,
