Date,Day,Robertson Sections,PlusNothing Sections (reference),Titles,Scripture (Harmony - Parallel Accounts),Words,Notes
2027-01-07,19,"#47b, #48, #49a, #49b","3.8, 3.9, 3.10",Banquet at Matthew's house | Jesus in Three Parables Defends His Disciples for Feasting Instead of Fasting | Jesus heals an invalid on the Sabbath | Effort to kill Jesus for breaking the Sabbath and saying He was equal with God,Matthew 9:10-13; Mark 2:15-17; Luke 5:29-32; Mark 2:18-22; Matthew 9:14-17; Luke 5:33-39; John 5:1-9; John 5:10-18,1107,folded in: #49b
2027-01-08,20,#49c,"3.11, 3.12",The Son's equality with the Father,John 5:19-47,616,
2027-01-09,21,"#50, #51, #52","3.13, 3.14",Another Sabbath Controversy with the Pharisees When the Disciples Pluck Ears of Grain in the Fields | A Third Sabbath Controversy with the Pharisees Over the Healing of a Man with a Withered Hand in a Synagogue | Jesus Teaches and Heals Great Multitudes by the Sea of Galilee,Mark 2:23-28; Matthew 12:1-8; Luke 6:1-5; Mark 3:1-6; Matthew 12:9-14; Luke 6:6-11; Mark 3:7-12; Matthew 12:15-21,1147,
2027-01-10,22,"#53, #54a, #54b, #54c, #54d","3.15, 3.16, 3.17, 3.18","After a Night of Prayer Jesus Selects Twelve Apostles | Setting of the sermon | Blessings/woes about inheriting the kingdom | Responsibility while awaiting the kingdom | Law, righteousness and the kingdom",Mark 3:13-19; Luke 6:12-16; Matthew 5:1-2; Luke 6:17-19; Matthew 5:3-12; Luke 6:20-26; Matthew 5:13-16; Matthew 5:17-20,843,folded in: #54a
2027-01-11,23,#54e,"3.19, 3.20, 3.21, 3.22, 3.23",Six contrasts in interpreting the law,Matthew 5:21-48; Luke 6:27-30; Luke 6:32-36,879,
2027-01-12,24,#54f,"3.24, 3.25, 3.26, 3.27","Avoid three hypocritical ""acts of righteousness""",Matthew 6:1-18,401,
2027-01-13,25,"#54g, #54h, #54i","3.28, 3.29, 3.30, 3.31","Three prohibitions against avarice, harsh judgment and unwise exposure of sacred things | Application and conclusion | Reaction of the crowds",Matthew 6:19-7:6; Luke 6:37-42; Matthew 7:7-27; Luke 6:31; Luke 6:43-49; Matthew 7:28-8:1,1439,folded in: #54i
2027-01-14,26,#55,"3.32, 3.33, 3.34, 3.35",Jesus Heals a Centurion's Servant at Capernaum,Matthew 8:5-13; Luke 7:1-10,458,
2027-01-15,27,"#56, #57","3.36, 3.37",He Raises a Widow's Son at Nain | The Message from the Baptist and the Eulogy of Jesus,Luke 7:11-17; Matthew 11:2-19; Luke 7:18-35,970,
2027-01-16,28,"#58, #59, #60","3.38, 3.39, 3.40",Woes Upon the Cities of Opportunity: The Claims of Christ as the Teacher About the Father | The Anointing of Christ's Feet by a Sinful Woman in the House of Simon a Pharisee: The Parable of the Two Debtors | The Second Tour of Galilee,Matthew 11:20-30; Luke 7:36-50; Luke 8:1-3,707,
2027-01-17,29,"#61, #62","3.41, 3.42",Blasphemous Accusation of League with Beelzebub | Scribes and Pharisees Demand a Sign,Mark 3:19-30; Matthew 12:22-37; Matthew 12:38-45,838,
2027-01-18,30,"#63, #64a, #64b, #106","3.43, 3.44",Christ's Mother and Brethren Seek to Take Him Home | Setting of the parables | Parable of the soils | Blasphemous Accusation of League with Beelzebub,Mark 3:31-35; Matthew 12:46-50; Luke 8:19-21; Matthew 13:1-3a; Mark 4:1-2; Luke 8:4; Matthew 13:3b-23; Mark 4:3-25; Luke 8:5-18; Luke 11:14-36,2322,folded in: #64a
2027-01-19,31,"#64c, #64d, #64e, #64f","3.45, 3.46, 3.47, 3.48",Parable of the seed's spontaneous growth | Parable of the weeds | Parable of the mustard tree | Parable of the leavened loaf,Mark 4:26-29; Matthew 13:24-30; Matthew 13:31-32; Mark 4:30-32; Matthew 13:33-35; Mark 4:33-34,513,folded in: #64e
2027-01-20,32,"#64g, #64h, #64i, #64j, #64k, #65","3.49, 3.50, 3.51, 3.52","Parable of the weeds explained | Parable of the hidden treasure | Parable of the valuable pearl | Parable of the net | Parable of the house owner | In Crossing the Lake, Jesus Stills the Tempest",Matthew 13:36-43; Matthew 13:44; Matthew 13:45-46; Matthew 13:47-50; Matthew 13:51-53; Mark 4:35-41; Matthew 8:18; Matthew 8:23-27; Luke 8:22-25,819,"folded in: #64h, #64k"
2027-01-21,33,#66,3.53,Beyond the Lake Jesus Heals the Gerasene Demoniac,Mark 5:1-20; Matthew 8:28-34; Luke 8:26-39,1042,
2027-01-22,34,#67,3.54,The Return and the Healing of Jairus' Daughter and of the Woman Who Only Touched Christ's Garment,Mark 5:21-43; Matthew 9:18-26; Luke 8:40-56,1069,
2027-01-23,35,"#68, #69, #70a","3.55, 3.56, 4.1",He Heals Two Blind Men and a Dumb Demoniac; a Blasphemous Accusation | The Last Visit to Nazareth | Shortage of workers,Matthew 9:27-34; Mark 6:1-6; Matthew 13:54-58; Matthew 9:35-38; Mark 6:6b-6b,527,
2027-01-24,36,"#70b, #70c, #71a",4.2,Commissioning of the Twelve | Workers sent out | Antipas' mistaken identification of Jesus,Matthew 10:1-42; Mark 6:7-11; Luke 9:1-5; Matthew 11:1; Mark 6:12-13; Luke 9:6; Matthew 14:1-2; Mark 6:14-16; Luke 9:7-9,1395,folded in: #71a
2027-01-25,37,"#71b, #72a",4.3,Earlier imprisonment and beheading of John | Return of the workers,Matthew 14:3-12; Mark 6:17-29; Mark 6:30; Luke 9:10a-10a,547,folded in: #72a
2027-01-26,38,"#72b, #72c, #73, #74, #75","4.4, 4.5, 4.6",Withdrawal from Galilee | Feeding the five thousand | The Prevention of the Revolutionary Purpose to Proclaim Jesus King (A Political Messiah) | The Peril to the Twelve in the Storm at Sea and Christ's Coming to Them on the Water in the Darkness | The Reception at Gennesaret,Matthew 14:13-14; Mark 6:31-34; Luke 9:10b-11; John 6:1-3; Matthew 14:15-21; Mark 6:35-44; Luke 9:12-17; John 6:4-13; Mark 6:45-46; Matthew 14:22-23; John 6:14-15; Mark 6:47-52; Matthew 14:24-33; John 6:16-21; Mark 6:53-56; Matthew 14:34-36,1746,
2027-01-27,39,#76a,4.7,Discourse on the true bread of life,John 6:22-59,855,
2027-01-28,40,"#76b, #77","4.8, 4.9",Defection among the disciples | Pharisees from Jerusalem Reproach Jesus for Allowing His Disciples to Disregard Their Traditions About Ceremonial Defilement of the Hands,John 6:60-71; Mark 7:1-23; Matthew 15:1-20; John 7:1,1091,
2027-01-29,41,"#78, #79a, #79b","4.10, 4.11, 4.12",The Second Withdrawal to the Region of Tyre and Sidon and the Healing of the Daughter of a Syro-Phoenician Woman | Healings in Decapolis | Feeding the four thousand in Decapolis,Mark 7:24-30; Matthew 15:21-28; Matthew 15:29-31; Mark 7:31-37; Matthew 15:32-38; Mark 8:1-9a,923,
2027-01-30,42,"#80, #81a, #81b, #82","4.13, 4.14, 4.15, 4.16",The Brief Visit to Magadan (Dalmanutha) in Galilee and the Sharp Attack by the Pharisees and Sadducees | Warning on error of Pharisees/Sadducees/ Herodians | Healing a blind man at Bethsaida | Near Caesarea Philippi Jesus Tests the Faith of the Twelve in His Messiahship,Mark 8:10-12; Matthew 15:39-16:4; Matthew 16:5-12; Mark 8:13-21; Mark 8:22-26; Mark 8:27-30; Matthew 16:13-20; Luke 9:18-21,993,
2027-01-31,43,"#83, #84, #85, #86","4.17, 4.18","Jesus Distinctly Foretells That He, the Messiah, Will Be Rejected and Killed and Will Rise the Third Day | The Coming of the Son of Man in That Generation | The Transfiguration of Jesus on a Mountain (Probably Hermon) Near Caesarea Philippi | The Puzzle of the Three Disciples About the Resurrection and About Elijah on Their Way Down the Mountain",Mark 8:31-37; Matthew 16:21-26; Luke 9:22-25; Mark 8:38-9:1; Matthew 16:27-28; Luke 9:26-27; Mark 9:2-8; Matthew 17:1-8; Luke 9:28-36; Mark 9:9-13; Matthew 17:9-13; Luke 9:36,1432,folded in: #84
2027-02-01,44,"#87, #88, #89","4.19, 4.20, 4.21","The Demoniac Boy, Whom the Disciples Could Not Heal | Returning Privately Through Galilee, He Again Foretells His Death and Resurrection | Jesus, the Messiah, Pays the Half-Shekel for the Temple",Mark 9:14-29; Matthew 17:14-20; Luke 9:37-43; Mark 9:30-32; Matthew 17:22-23; Luke 9:43-45; Matthew 17:24-27,998,
2027-02-02,45,"#90, #91, #92, #93","4.22, 4.23, 4.24","The Twelve Contend as to Who Shall Be Greatest Under the Messiah's Reign: His Subjects Must Be Childlike | The Mistaken Zeal of the Apostle John Rebuked by Jesus in Pertinent Parables | Right Treatment of a Brother Who Has Sinned Against One, and Duty of Patiently Forgiving a Brother (Parable of the Unmerciful Servant) | The Messiah's Followers Must Give Up Everything for His Service",Mark 9:33-37; Matthew 18:1-5; Luke 9:46-48; Mark 9:38-50; Matthew 18:6-14; Luke 9:49-50; Matthew 18:15-35; Matthew 8:19-22; Luke 9:57-62,1629,folded in: #93
2027-02-03,46,#94,"4.25, 4.26","The Unbelieving Brothers of Jesus Counsel Him to Exhibit Himself in Judea, and He Rejects the Advice",John 7:2-9,141,
2027-02-04,47,"#96a, #96b","4.27, 4.28",Mixed reaction to Jesus' teaching and miracles | Frustrated attempt to arrest Jesus,John 7:11-31; John 7:32-52,809,
2027-02-05,48,"#97, #98","4.29, 4.30",Story of an Adulterous Woman Brought to Jesus for Judgment | After the Feast of Tabernacles in the Temple Jesus Angers the Pharisees by Claiming to Be the Light of the World,John 7:53-8:11; John 8:12-20,450,folded in: #98
2027-02-06,49,"#99a, #99b","4.31, 4.32",Jesus' relationship to God the Father | Jesus' relationship to Abraham/attempted stoning,John 8:21-30; John 8:31-59,865,
2027-02-07,50,"#100a, #100b","4.33, 4.34, 4.35",Healing of a man born blind | Response of the blind man's neighbors,John 9:1-7; John 9:8-12,248,folded in: #100b
2027-02-08,51,"#100c, #100d, #100e","4.36, 4.37",Examination/excommunication of blind man | Jesus' identification of himself to the blind man | Spiritual blindness of the Pharisees,John 9:13-34; John 9:35-38; John 9:39-41,628,folded in: #100e
2027-02-09,52,"#95, #101a, #101b","4.38, 4.39",He Goes Privately to Jerusalem Through Samaria | Allegory of the good shepherd and the thief | Further division among the Jews,Luke 9:51-56; John 7:10; John 10:1-18; John 10:19-21,607,folded in: #101b
2027-02-10,53,"#102a, #102b",4.40,Commissioning of the Seventy | Return of the Seventy,Luke 10:1-16; Luke 10:17-24,577,folded in: #102b
2027-02-11,54,"#103, #104, #105","4.41, 4.42, 4.43","Jesus Answers a Lawyer's Question as to Eternal Life, Giving the Parable of the Good Samaritan | Jesus the Guest of Martha and Mary | Jesus Again Gives a Model of Prayer and Encourages His Disciples to Pray: Parable of the Importunate Friend",Luke 10:25-37; Luke 10:38-42; Luke 11:1-13,751,
2027-02-12,55,#107,4.44,"While Breakfasting with a Pharisee, Jesus Severely Denounces the Pharisees and Lawyers and Excites Their Enmity",Luke 11:37-54,418,
2027-02-13,56,"#108a, #108b, #108c","4.45, 4.46",Warning to the disciples about hypocrisy | Warning about greed and trust in wealth | Warning about being unprepared for the Son of Man's coming,Luke 12:1-12; Luke 12:13-34; Luke 12:35-48,1145,folded in: #108c
2027-02-14,57,"#108d, #108e, #109, #110","4.47, 4.48, 4.49",Warning about the coming division | Warning against failing to discern the time | All Must Repent or Perish: Two Current Tragedies; Parable of the Barren Fig Tree | Jesus Heals a Crippled Woman on the Sabbath and Defends Himself Against the Ruler of the Synagogue; Repetition of the Parables of the Mustard Seed and of the Leaven,Luke 12:49-53; Luke 12:54-59; Luke 13:1-9; Luke 13:10-21,748,folded in: #108e
2027-02-15,58,"#111, #112, #113a","4.50, 4.51",At the Feast of Dedication Jesus Will Not Yet Openly Say That He Is the Messiah; The Jews Try to Stone Him | The Withdrawal from Jerusalem to Bethany Beyond Jordan | Question about salvation and entering the kingdom,John 10:22-39; John 10:40-42; Luke 13:22-30,592,folded in: #112
2027-02-16,59,"#113b, #114","4.52, 4.53","Anticipation of Jesus' death and sorrow over Jerusalem | While Dining with a Chief Pharisee, He Again Heals on the Sabbath and Defends Himself; Three Parables Suggested by the Occasion",Luke 13:31-35; Luke 14:1-24,734,
2027-02-17,60,#115,"4.54, 4.55, 4.56","Great Crowds Follow Him, and He Warns Them to Count the Cost of Discipleship to Him",Luke 14:25-35,234,
2027-02-18,61,#116,"4.57, 4.58","The Pharisees and Scribes Murmur Against Jesus for Receiving Sinners: He Defends Himself by Three Great Parables (The Lost Sheep, The Lost Coin, The Lost Son)",Luke 15:1-32,725,re-homed here: #116
2027-02-19,62,#117a,4.59,Parable to teach the proper use of money,Luke 16:1-13,341,
2027-02-20,63,"#117b, #117c","4.60, 4.61",Story to teach the danger of wealth | Four lessons on discipleship,Luke 16:14-31; Luke 17:1-10,668,
2027-02-21,64,"#118a, #118b","4.62, 4.63",Sickness and death of Lazarus | Lazarus raised from the dead,John 11:1-16; John 11:17-44,861,
2027-02-22,65,"#119, #120a","4.64, 4.65, 4.66","The Effect of the Raising of Lazarus (On the People, On the Sanhedrin, On the Movements of Jesus) | Healing of 10 lepers in Samaria and Galilee",John 11:45-54; Luke 17:11-21,425,
2027-02-23,66,"#120b, #121","4.67, 4.68",Instructions regarding the Son of Man's coming | Two Parables on Prayer (The Importunate Widow; The Pharisee and the Publican),Luke 17:22-37; Luke 18:1-14,632,
2027-02-24,67,"#122, #123","4.69, 4.70, 4.71","Going from Galilee Through Perea, He Teaches Concerning Divorce | Christ and Children and the Failure of the Disciples to Understand the Attitude of Jesus",Mark 10:1-12; Matthew 19:1-12; Mark 10:13-16; Matthew 19:13-15; Luke 18:15-17,724,
2027-02-25,68,"#124a, #124b","4.72, 4.73",Riches and the kingdom | Parable of the landowner's sovereignty,Matthew 19:16-30; Mark 10:17-31; Luke 18:18-30; Matthew 20:1-16,1327,
2027-02-26,69,"#125a, #125b, #126","4.74, 4.75, 4.76",Third prediction of Jesus' death and resurrection | Warning against ambitious pride | Blind Bartimaeus and His Companion Healed,Matthew 20:17-19; Mark 10:32-34; Luke 18:31-34; Matthew 20:20-28; Mark 10:35-45; Mark 10:46-52; Matthew 20:29-34; Luke 18:35-43,1246,
2027-02-27,70,"#127a, #127b","4.77, 4.78",Salvation of Zacchaeus | Parable to teach responsibility while the kingdom is delayed,Luke 19:1-10; Luke 19:11-28,603,
2027-02-28,71,"#128a, #128b","4.79, 5.1",Jesus Arrives at Bethany Near Jerusalem | His Triumphal Entry into Jerusalem as the Messiah,John 11:55-12:1; John 12:9-11; Mark 11:1-11; Matthew 21:1-11; Matthew 21:14-17; Luke 19:29-44; John 12:12-19,1281,
2027-03-01,72,"#129a, #129b, #131, #132a","5.2, 5.3, 5.4, 5.5","Cursing of the fig tree having leaves but no figs | Second cleansing of the temple | The Barren Fig Tree Found to Have Withered | Questioning of Jesus' authority by the chief priests, teachers of the Law and elders",Matthew 21:18-19a; Mark 11:12-14; Matthew 21:12-13; Mark 11:15-18; Luke 19:45-48; Mark 11:19-25; Matthew 21:19-22; Luke 21:37-38; Matthew 21:23-27; Mark 11:27-33; Luke 20:1-8,1177,
2027-03-02,73,#132b,"5.6, 5.7",Jesus' response with his own question and 3 parables,Matthew 21:28-22:14; Mark 12:1-12; Luke 20:9-19,1275,
2027-03-03,74,#133,"5.8, 5.9",The Pharisees and the Herodians Try to Ensnare Jesus About Paying Tribute to Caesar,Mark 12:13-17; Matthew 22:15-22; Luke 20:20-26,441,
2027-03-04,75,"#134, #135, #136","5.10, 5.11, 5.12",The Sadducees Ask Him a Puzzling Question About the Resurrection | The Pharisees Rejoice Over the Rout of the Sadducees and a Pharisaic Lawyer Asks Jesus a Legal Question | Jesus Silences His Enemies by the Pertinent Question of the Messiah's Descent from David and Lordship Over David,Mark 12:18-27; Matthew 22:23-33; Luke 20:27-40; Mark 12:28-34; Matthew 22:34-40; Mark 12:35-37; Matthew 22:41-46; Luke 20:41-44,1206,
2027-03-05,76,"#137a, #137b",5.13,Seven woes against the teachers of the Law | Jesus' sorrow over Jerusalem,Matthew 23:1-36; Mark 12:38-40; Luke 20:45-47; Matthew 23:37-39,947,folded in: #137b
2027-03-06,77,"#138, #139a, #139b, #139c, #139d","5.14, 5.15","Jesus Closely Observes the Contributions in the Temple, and Commends the Poor Widow's Gift | Setting of the discourse | Beginning of birth pains | Abomination of desolation/subsequent distress | Coming of the Son of Man",Mark 12:41-44; Luke 21:1-4; Matthew 24:1-3; Mark 13:1-4; Luke 21:5-7; Matthew 24:4-14; Mark 13:5-13; Luke 21:8-19; Matthew 24:15-28; Mark 13:14-23; Luke 21:20-24; Matthew 24:29-31; Mark 13:24-27; Luke 21:25-27,1977,"folded in: #139a, #139d"
2027-03-07,78,#139e,5.16,Signs of nearness but unknown time,Matthew 24:32-41; Mark 13:28-32; Luke 21:28-33,402,
2027-03-08,79,#139f,"5.17, 5.18",Five parables on watchfulness and faithfulness,Matthew 24:42-25:30; Mark 13:33-37; Luke 21:34-36,986,re-homed here: #139f
2027-03-09,80,#139g,5.19,Judgment at the Son of Man's coming,Matthew 25:31-46,378,
2027-03-10,81,"#130a, #130b",5.20,Request of some Greeks to see Jesus and necessity of the Son of Man's being lifted up | Responses to Jesus and Jesus' responses to crowds,John 12:20-36a; John 12:36b-50,690,folded in: #130b
2027-03-11,82,"#140, #141, #142, #143","5.21, 5.22, 5.23","Jesus Predicts His Crucifixion Two Days Hence (Jewish Friday) | At the Feast in the House of Simon the Leper Mary of Bethany Anoints Jesus for His Burial | Judas, Stung by the Rebuke of Jesus at the Feast, Bargains with the Rulers to Betray Jesus | The Preparation for the Paschal Meal at the Home of a Friend",Mark 14:1-2; Matthew 26:1-5; Luke 22:1-2; Mark 14:3-9; Matthew 26:6-13; John 12:2-8; Mark 14:10-11; Matthew 26:14-16; Luke 22:3-6; Mark 14:12-16; Matthew 26:17-19; Luke 22:7-13,1132,
2027-03-12,83,"#144, #145","5.24, 5.25","Jesus Partakes of the Paschal Meal with the Twelve Apostles and Rebukes Their Jealousy | During the Paschal Meal, Jesus Washes the Feet of His Disciples",Mark 14:17; Matthew 26:20; Luke 22:14-16; Luke 22:24-30; John 13:1-20,658,
2027-03-13,84,"#146, #148","5.26, 5.27",At the Paschal Meal Jesus Points Out Judas as the Betrayer | Jesus Institutes the Memorial of Eating Bread and Drinking Wine,Mark 14:18-21; Matthew 26:21-25; Luke 22:21-23; John 13:21-30; Mark 14:22-25; Matthew 26:26-29; Luke 22:17-20; 1 Corinthians 11:23-26,864,
2027-03-14,85,#147,"5.28, 5.29, 5.30, 5.31","After the Departure of Judas Jesus Warns the Disciples (Peter in Particular) Against Desertion, While All Protest Their Loyalty",Mark 14:27-31; Matthew 26:31-35; Luke 22:31-38; John 13:31-38,596,
2027-03-15,86,#149,"5.32, 5.33",The Farewell Discourse to His Disciples in the Upper Room,John 14,731,re-homed here: #149
2027-03-16,87,#150a,5.34,The vine and the branches,John 15:1-17,375,
2027-03-17,88,"#150b, #150c, #150d","5.35, 5.36",Opposition from the world | Coming and ministry of the Spirit | Prediction of joy over his resurrection,John 15:18-16:4; John 16:5-15; John 16:16-22,767,folded in: #150d
2027-03-18,89,#150e,5.37,Promise of answered prayer and peace,John 16:23-33,260,
2027-03-19,90,#151,"5.38, 5.39",Christ's Intercessory Prayer,John 17,636,
2027-03-20,91,#152,"5.40, 5.41","Going Forth to Gethsemane, Jesus Suffers Long in Agony",Mark 14:26; Mark 14:32-42; Matthew 26:30; Matthew 26:36-46; Luke 22:39-46; John 18:1,683,
2027-03-21,92,#153,5.42,"Jesus Is Betrayed, Arrested, and Forsaken",Mark 14:43-52; Matthew 26:47-56; Luke 22:47-53; John 18:2-12,813,
2027-03-22,93,"#154, #156","5.43, 5.44, 5.45, 5.46","Jesus First Examined by Annas, the Ex-High Priest | Peter Thrice Denies His Lord",John 18:12-14; John 18:19-23; Mark 14:54; Mark 14:66-72; Matthew 26:58; Matthew 26:69-75; Luke 22:54-62; John 18:15-18; John 18:25-27,904,
2027-03-23,94,"#155, #158","5.47, 5.48","Jesus Hurriedly Tried and Condemned by Caiaphas and the Sanhedrin, Who Mock and Buffet Him | Remorse and Suicide of Judas the Betrayer",Mark 14:53; Mark 14:55-65; Matthew 26:57; Matthew 26:59-68; Luke 22:54; Luke 22:63-65; John 18:24; Matthew 27:3-10; Acts 1:18-19,793,
2027-03-24,95,"#157, #159, #160","5.49, 5.50","After Dawn, Jesus Is Formally Condemned by the Sanhedrin | Jesus Before Pilate the First Time | Jesus Before Herod Antipas the Tetrarch",Mark 15:1; Matthew 27:1; Luke 22:66-71; Mark 15:1-5; Matthew 27:2; Matthew 27:11-14; Luke 23:1-5; John 18:28-38; Luke 23:6-12,905,
2027-03-25,96,"#161, #162","5.51, 5.52, 5.53",Jesus the Second Time Before Pilate | The Roman Soldiers Mock Jesus,Mark 15:6-15; Matthew 27:15-26; Luke 23:13-25; John 18:39-19:16; Mark 15:16-19; Matthew 27:27-30,1236,
2027-03-26,97,"#163, #164",5.54,Jesus on the Way to the Cross (Via Dolorosa) on Golgotha | The First Three Hours on the Cross,Mark 15:20-23; Matthew 27:31-34; Luke 23:26-33; John 19:16-17; Mark 15:24-32; Matthew 27:35-44; Luke 23:33-43; John 19:18-27,1213,
2027-03-27,98,"#165, #166, #167a, #167b, #168","5.55, 5.56",The Three Hours of Darkness from Noon to Three P.M. | The Phenomena Accompanying the Death of Christ | Certification of death and procurement of body | Jesus' body placed in tomb | The Watch of the Women by the Tomb of Jesus,Mark 15:33-37; Matthew 27:45-50; Luke 23:44-46; John 19:28-30; Mark 15:38-41; Matthew 27:51-56; Luke 23:45; Luke 23:47-49; Matthew 27:57-58; Mark 15:42-45; Luke 23:50-52; John 19:31-38; Matthew 27:59-60; Mark 15:46; Luke 23:53-54; John 19:39-42; Mark 15:47; Matthew 27:61-66; Luke 23:55-56,1433,
2027-03-28,99,"#169, #170, #171, #172","5.57, 6.1","The Visit of the Women to the Tomb of Jesus | The Earthquake, the Rolling Away of the Stone by an Angel, and the Fright of the Roman Watchers | The Visit of the Women to the Tomb About Sunrise Sunday Morning and the Message of the Angels About the Empty Tomb | Mary Magdalene and the Other Women Report to the Apostles, and Peter and John Visit the Empty Tomb",Mark 16:1; Matthew 28:1; Matthew 28:2-4; Mark 16:2-8; Matthew 28:5-8; Luke 24:1-8; John 20:1; Luke 24:9-12; John 20:2-10,802,Easter Sunday anchor
2027-03-29,100,"#173, #174, #175","6.2, 6.3, 6.4",The Appearance of Jesus to Mary Magdalene and the Message to the Disciples | The Appearance of Jesus to the Other Women | Some of the Guard Report to the Jewish Rulers,Mark 16:9-11; John 20:11-18; Matthew 28:9-10; Matthew 28:11-15,424,
